Fecha;Risk_Free;;;
11/11/2021;7.8674;;;
10/11/2021;7.8374;;;
9/11/2021;7.8692;;;
8/11/2021;7.8623;;;
5/11/2021;7.8804;;;
4/11/2021;7.8612;;;
3/11/2021;7.9157;;;
2/11/2021;7.8411;;;
1/11/2021;8.0313;;;
29/10/2021;8.0312;;;
28/10/2021;8.1063;;;
27/10/2021;8.0529;;;
26/10/2021;7.9988;;;
25/10/2021;7.9468;;;
22/10/2021;7.9763;;;
21/10/2021;7.8782;;;
20/10/2021;7.7629;;;
19/10/2021;7.8138;;;
18/10/2021;7.8419;;;
15/10/2021;7.8418;;;
14/10/2021;7.8345;;;
13/10/2021;7.8203;;;
12/10/2021;7.8215;;;
11/10/2021;7.795;;;
8/10/2021;7.7924;;;
7/10/2021;7.7871;;;
6/10/2021;7.7884;;;
5/10/2021;7.7712;;;
4/10/2021;7.8536;;;
1/10/2021;7.7649;;;
30/09/2021;7.4809;;;
29/09/2021;7.5484;;;
28/09/2021;7.5538;;;
27/09/2021;7.5506;;;
24/09/2021;7.5579;;;
23/09/2021;7.5545;;;
22/09/2021;7.5587;;;
21/09/2021;7.5624;;;
20/09/2021;7.5592;;;
17/09/2021;7.5322;;;
16/09/2021;7.5304;;;
15/09/2021;7.5241;;;
14/09/2021;7.6115;;;
13/09/2021;7.5886;;;
10/09/2021;7.5063;;;
9/09/2021;7.5515;;;
8/09/2021;7.4498;;;
7/09/2021;7.4252;;;
6/09/2021;7.4509;;;
3/09/2021;7.4084;;;
2/09/2021;7.3865;;;
1/09/2021;7.3524;;;
31/08/2021;7.3536;;;
30/08/2021;7.4254;;;
27/08/2021;7.4653;;;
26/08/2021;7.5291;;;
25/08/2021;7.5142;;;
24/08/2021;7.5671;;;
23/08/2021;7.545;;;
20/08/2021;7.5906;;;
19/08/2021;7.5923;;;
18/08/2021;7.5487;;;
17/08/2021;7.4884;;;
16/08/2021;7.5649;;;
13/08/2021;7.5644;;;
12/08/2021;7.3036;;;
11/08/2021;7.3654;;;
10/08/2021;7.3559;;;
9/08/2021;7.3174;;;
6/08/2021;7.2755;;;
5/08/2021;7.1926;;;
4/08/2021;7.1663;;;
3/08/2021;7.1653;;;
2/08/2021;7.169;;;
30/07/2021;7.212;;;
29/07/2021;7.2508;;;
28/07/2021;7.3126;;;
27/07/2021;7.3119;;;
26/07/2021;7.234;;;
23/07/2021;7.1592;;;
22/07/2021;7.1348;;;
21/07/2021;7.1617;;;
20/07/2021;7.1888;;;
19/07/2021;7.1902;;;
16/07/2021;7.18;;;
15/07/2021;7.1733;;;
14/07/2021;7.189;;;
13/07/2021;7.1927;;;
12/07/2021;7.1554;;;
9/07/2021;7.1315;;;
8/07/2021;7.2754;;;
7/07/2021;7.2615;;;
6/07/2021;7.192;;;
5/07/2021;7.2878;;;
2/07/2021;7.2877;;;
1/07/2021;7.3207;;;
30/06/2021;7.2463;;;
29/06/2021;7.2393;;;
28/06/2021;7.2571;;;
25/06/2021;7.382;;;
24/06/2021;7.2647;;;
23/06/2021;7.2233;;;
22/06/2021;7.304;;;
21/06/2021;7.3052;;;
18/06/2021;7.2669;;;
17/06/2021;7.3391;;;
16/06/2021;7.2332;;;
15/06/2021;7.3392;;;
14/06/2021;7.1542;;;
11/06/2021;7.1525;;;
10/06/2021;7.0612;;;
9/06/2021;7.0486;;;
8/06/2021;7.204;;;
7/06/2021;7.3762;;;
4/06/2021;7.3759;;;
3/06/2021;7.423;;;
2/06/2021;7.3805;;;
1/06/2021;7.5676;;;
31/05/2021;7.584;;;
28/05/2021;7.5796;;;
27/05/2021;7.655;;;
26/05/2021;7.6876;;;
25/05/2021;7.6621;;;
24/05/2021;7.6474;;;
21/05/2021;7.628;;;
20/05/2021;7.6155;;;
19/05/2021;7.5736;;;
18/05/2021;7.5818;;;
17/05/2021;7.5583;;;
14/05/2021;7.5577;;;
13/05/2021;7.7019;;;
12/05/2021;7.7649;;;
11/05/2021;7.8138;;;
10/05/2021;7.6213;;;
7/05/2021;7.4151;;;
6/05/2021;7.6094;;;
5/05/2021;7.8169;;;
4/05/2021;7.6595;;;
3/05/2021;7.2985;;;
30/04/2021;7.2725;;;
29/04/2021;7.3243;;;
28/04/2021;7.2573;;;
27/04/2021;7.2261;;;
26/04/2021;7.0516;;;
23/04/2021;6.9598;;;
22/04/2021;6.9486;;;
21/04/2021;6.922;;;
20/04/2021;6.9377;;;
19/04/2021;6.8916;;;
16/04/2021;6.9046;;;
15/04/2021;6.9408;;;
14/04/2021;7.0039;;;
13/04/2021;7.0059;;;
12/04/2021;7.055;;;
9/04/2021;6.9894;;;
8/04/2021;6.817;;;
7/04/2021;6.9572;;;
6/04/2021;7.0098;;;
5/04/2021;7.2516;;;
2/04/2021;7.2482;;;
1/04/2021;7.2464;;;
31/03/2021;7.2522;;;
30/03/2021;7.2367;;;
29/03/2021;7.2224;;;
26/03/2021;7.2436;;;
25/03/2021;7.2502;;;
24/03/2021;7.2055;;;
23/03/2021;7.0587;;;
22/03/2021;7.039;;;
19/03/2021;7.0384;;;
18/03/2021;6.9584;;;
17/03/2021;6.8809;;;
16/03/2021;6.782;;;
15/03/2021;6.7014;;;
12/03/2021;6.7459;;;
11/03/2021;6.6238;;;
10/03/2021;6.6638;;;
9/03/2021;6.7561;;;
8/03/2021;6.817;;;
5/03/2021;6.6578;;;
4/03/2021;6.533;;;
3/03/2021;6.5486;;;
2/03/2021;6.2717;;;
1/03/2021;6.186;;;
26/02/2021;6.2972;;;
25/02/2021;6.1222;;;
24/02/2021;6.0817;;;
23/02/2021;6.16;;;
22/02/2021;6.1524;;;
19/02/2021;6.0268;;;
18/02/2021;5.9365;;;
17/02/2021;5.9085;;;
16/02/2021;5.931;;;
15/02/2021;5.876;;;
12/02/2021;5.8729;;;
11/02/2021;5.8832;;;
10/02/2021;5.8919;;;
9/02/2021;5.9172;;;
8/02/2021;5.9165;;;
5/02/2021;5.9044;;;
4/02/2021;5.8961;;;
3/02/2021;5.8425;;;
2/02/2021;5.8948;;;
1/02/2021;5.9193;;;
29/01/2021;5.8949;;;
28/01/2021;5.9349;;;
